districtname,aun,dataelement,displayvalue
Berlin Brothersvalley SD,108561003,Website,http://www.bbsd.com
Berlin Brothersvalley SD,108561003,White ,95.9
Bermudian Springs SD,112011103,2 or More Races,2.61
Bermudian Springs SD,112011103,American Indian/Alaskan Native ,0.05
Bermudian Springs SD,112011103,Asian ,0.16
Bermudian Springs SD,112011103,Black/African American ,0.63
Bermudian Springs SD,112011103,Career and Technical Center Name,Not Available
Bermudian Springs SD,112011103,Career and Technical Center Website,Not Available
Bermudian Springs SD,112011103,Charter School Enrollment,77
Bermudian Springs SD,112011103,District Address (City),York Springs
Bermudian Springs SD,112011103,District Address (State),PA
Bermudian Springs SD,112011103,District Address (Street),7335 Carlisle Pike
Bermudian Springs SD,112011103,District Enrollment,1913
Bermudian Springs SD,112011103,District Name,Bermudian Springs SD
Bermudian Springs SD,112011103,District Zip Code,17372
Bermudian Springs SD,112011103,Economically Disadvantaged,41.14
Bermudian Springs SD,112011103,English Learner,4.08
Bermudian Springs SD,112011103,Enrollment in Partnering Career and Technical Center(s),NA
Bermudian Springs SD,112011103,Female,49.97
Bermudian Springs SD,112011103,Foster Care,0.31
Bermudian Springs SD,112011103,Geographic Size of District (Square Miles),75.27
Bermudian Springs SD,112011103,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Bermudian Springs SD,112011103,Hispanic ,15.68
Bermudian Springs SD,112011103,Homeless,0.47
Bermudian Springs SD,112011103,Intermediate Unit Name,Lincoln IU 12
Bermudian Springs SD,112011103,Intermediate Unit Website,http://www.iu12.org
Bermudian Springs SD,112011103,Male,50.03
Bermudian Springs SD,112011103,Military Connected,0
Bermudian Springs SD,112011103,Native Hawaiian or other Pacific Islander ,0
Bermudian Springs SD,112011103,Number of Schools,3
Bermudian Springs SD,112011103,Percent of Gifted Students,2.72
Bermudian Springs SD,112011103,Special Education,9.83
Bermudian Springs SD,112011103,Telephone Number,717-528-4113
Bermudian Springs SD,112011103,Website,http://www.bermudian.org
Bermudian Springs SD,112011103,White ,80.87
Berwick Area SD,116191103,2 or More Races,2.14
Berwick Area SD,116191103,American Indian/Alaskan Native ,0
Berwick Area SD,116191103,Asian ,0.4
Berwick Area SD,116191103,Black/African American ,1.74
Berwick Area SD,116191103,Career and Technical Center Name,Columbia-Montour AVTS
Berwick Area SD,116191103,Career and Technical Center Website,http://www.cmvt.us
Berwick Area SD,116191103,Charter School Enrollment,66
Berwick Area SD,116191103,District Address (City),Berwick
Berwick Area SD,116191103,District Address (State),PA
Berwick Area SD,116191103,District Address (Street),500 Line St
Berwick Area SD,116191103,District Enrollment,2757
Berwick Area SD,116191103,District Name,Berwick Area SD
Berwick Area SD,116191103,District Zip Code,18603
Berwick Area SD,116191103,Economically Disadvantaged,42.95
Berwick Area SD,116191103,English Learner,2.25
Berwick Area SD,116191103,Enrollment in Partnering Career and Technical Center(s),167
Berwick Area SD,116191103,Female,49.18
Berwick Area SD,116191103,Foster Care,0.94
Berwick Area SD,116191103,Geographic Size of District (Square Miles),91.11
Berwick Area SD,116191103,Grades Offered,"PreKH, PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Berwick Area SD,116191103,Hispanic ,9.14
Berwick Area SD,116191103,Homeless,0.76
Berwick Area SD,116191103,Intermediate Unit Name,Central Susquehanna IU 16
Berwick Area SD,116191103,Intermediate Unit Website,http://www.csiu.org
Berwick Area SD,116191103,Male,50.82
Berwick Area SD,116191103,Military Connected,0
Berwick Area SD,116191103,Native Hawaiian or other Pacific Islander ,0
Berwick Area SD,116191103,Number of Schools,5
Berwick Area SD,116191103,Percent of Gifted Students,2.18
Berwick Area SD,116191103,Special Education,18.17
Berwick Area SD,116191103,Telephone Number,570-759-6400
Berwick Area SD,116191103,Website,http://www.berwicksd.org
Berwick Area SD,116191103,White ,86.58
Bethel Park SD,103021252,2 or More Races,1.86
Bethel Park SD,103021252,American Indian/Alaskan Native ,0.1
Bethel Park SD,103021252,Asian ,3.4
Bethel Park SD,103021252,Black/African American ,2.5
Bethel Park SD,103021252,Career and Technical Center Name,Steel Center for Career and Technical Education
Bethel Park SD,103021252,Career and Technical Center Website,http://www.steelcentertech.com
Bethel Park SD,103021252,Charter School Enrollment,42
Bethel Park SD,103021252,District Address (City),Bethel Park
Bethel Park SD,103021252,District Address (State),PA
Bethel Park SD,103021252,District Address (Street),301 Church Rd
Bethel Park SD,103021252,District Enrollment,4032
Bethel Park SD,103021252,District Name,Bethel Park SD
Bethel Park SD,103021252,District Zip Code,15102
Bethel Park SD,103021252,Economically Disadvantaged,13.44
Bethel Park SD,103021252,English Learner,1.44
Bethel Park SD,103021252,Enrollment in Partnering Career and Technical Center(s),91
Bethel Park SD,103021252,Female,48.98
Bethel Park SD,103021252,Foster Care,0.15
Bethel Park SD,103021252,Geographic Size of District (Square Miles),11.75
Bethel Park SD,103021252,Grades Offered,"K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Bethel Park SD,103021252,Hispanic ,1.09
Bethel Park SD,103021252,Homeless,0.1
Bethel Park SD,103021252,Intermediate Unit Name,Allegheny IU 3
Bethel Park SD,103021252,Intermediate Unit Website,http://www.aiu3.net
Bethel Park SD,103021252,Male,51.02
Bethel Park SD,103021252,Military Connected,0
Bethel Park SD,103021252,Native Hawaiian or other Pacific Islander ,0.22
Bethel Park SD,103021252,Number of Schools,8
Bethel Park SD,103021252,Percent of Gifted Students,4.86
Bethel Park SD,103021252,Special Education,16.94
Bethel Park SD,103021252,Telephone Number,412-833-5000
Bethel Park SD,103021252,Website,http://www.bpsd.org/
Bethel Park SD,103021252,White ,90.82
Bethlehem Area SD,120481002,2 or More Races,2.33
Bethlehem Area SD,120481002,American Indian/Alaskan Native ,0.12
Bethlehem Area SD,120481002,Asian ,2.99
Bethlehem Area SD,120481002,Black/African American ,10.76
Bethlehem Area SD,120481002,Career and Technical Center Name,Bethlehem AVTS
Bethlehem Area SD,120481002,Career and Technical Center Website,http://www.bethlehemavts.org
Bethlehem Area SD,120481002,Charter School Enrollment,2037
Bethlehem Area SD,120481002,District Address (City),Bethlehem
Bethlehem Area SD,120481002,District Address (State),PA
Bethlehem Area SD,120481002,District Address (Street),1516 Sycamore St
Bethlehem Area SD,120481002,District Enrollment,13424
Bethlehem Area SD,120481002,District Name,Bethlehem Area SD
Bethlehem Area SD,120481002,District Zip Code,18017
Bethlehem Area SD,120481002,Economically Disadvantaged,59.01
Bethlehem Area SD,120481002,English Learner,6.28
Bethlehem Area SD,120481002,Enrollment in Partnering Career and Technical Center(s),892
Bethlehem Area SD,120481002,Female,47.84
Bethlehem Area SD,120481002,Foster Care,0.46
Bethlehem Area SD,120481002,Geographic Size of District (Square Miles),42.06
Bethlehem Area SD,120481002,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Bethlehem Area SD,120481002,Hispanic ,42.83
Bethlehem Area SD,120481002,Homeless,2.37
Bethlehem Area SD,120481002,Intermediate Unit Name,Colonial IU 20
Bethlehem Area SD,120481002,Intermediate Unit Website,http://www.ciu20.org
Bethlehem Area SD,120481002,Male,52.16
Bethlehem Area SD,120481002,Military Connected,0
Bethlehem Area SD,120481002,Native Hawaiian or other Pacific Islander ,0.08
Bethlehem Area SD,120481002,Number of Schools,22
Bethlehem Area SD,120481002,Percent of Gifted Students,3.74
Bethlehem Area SD,120481002,Special Education,16.96
Bethlehem Area SD,120481002,Telephone Number,610-861-0500
Bethlehem Area SD,120481002,Website,http://www.beth.k12.pa.us
Bethlehem Area SD,120481002,White ,40.89
Bethlehem-Center SD,101631003,2 or More Races,3.28
Bethlehem-Center SD,101631003,American Indian/Alaskan Native ,0
Bethlehem-Center SD,101631003,Asian ,0
Bethlehem-Center SD,101631003,Black/African American ,1.95
Bethlehem-Center SD,101631003,Career and Technical Center Name,Mon Valley CTC
Bethlehem-Center SD,101631003,Career and Technical Center Website,http://www.monvalleyctc.org
Bethlehem-Center SD,101631003,Charter School Enrollment,52
Bethlehem-Center SD,101631003,District Address (City),Fredericktown
Bethlehem-Center SD,101631003,District Address (State),PA
Bethlehem-Center SD,101631003,District Address (Street),194 Crawford Rd
Bethlehem-Center SD,101631003,District Enrollment,1128
Bethlehem-Center SD,101631003,District Name,Bethlehem-Center SD
Bethlehem-Center SD,101631003,District Zip Code,15333
Bethlehem-Center SD,101631003,Economically Disadvantaged,54.08
Bethlehem-Center SD,101631003,English Learner,0
Bethlehem-Center SD,101631003,Enrollment in Partnering Career and Technical Center(s),92
Bethlehem-Center SD,101631003,Female,46.28
Bethlehem-Center SD,101631003,Foster Care,1.06
Bethlehem-Center SD,101631003,Geographic Size of District (Square Miles),55.33
Bethlehem-Center SD,101631003,Grades Offered,"PreKH, PreKF, K4H, K4F, K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Bethlehem-Center SD,101631003,Hispanic ,0.62
Bethlehem-Center SD,101631003,Homeless,0.62
Bethlehem-Center SD,101631003,Intermediate Unit Name,Intermediate Unit 1
Bethlehem-Center SD,101631003,Intermediate Unit Website,http://www.iu1.org
Bethlehem-Center SD,101631003,Male,53.72
Bethlehem-Center SD,101631003,Military Connected,0.71
Bethlehem-Center SD,101631003,Native Hawaiian or other Pacific Islander ,0
Bethlehem-Center SD,101631003,Number of Schools,3
Bethlehem-Center SD,101631003,Percent of Gifted Students,0.27
Bethlehem-Center SD,101631003,Special Education,22.16
Bethlehem-Center SD,101631003,Telephone Number,724-267-4910
Bethlehem-Center SD,101631003,Website,http://www.bcasd.net
Bethlehem-Center SD,101631003,White ,94.15
Big Beaver Falls Area SD,127041503,2 or More Races,21.46
Big Beaver Falls Area SD,127041503,American Indian/Alaskan Native ,0.12
Big Beaver Falls Area SD,127041503,Asian ,0.29
Big Beaver Falls Area SD,127041503,Black/African American ,23.16
Big Beaver Falls Area SD,127041503,Career and Technical Center Name,Beaver County CTC
Big Beaver Falls Area SD,127041503,Career and Technical Center Website,http://www.bcctc.org
Big Beaver Falls Area SD,127041503,Charter School Enrollment,116
Big Beaver Falls Area SD,127041503,District Address (City),Beaver Falls
Big Beaver Falls Area SD,127041503,District Address (State),PA
Big Beaver Falls Area SD,127041503,District Address (Street),1503 8th Avenue
Big Beaver Falls Area SD,127041503,District Enrollment,1701
Big Beaver Falls Area SD,127041503,District Name,Big Beaver Falls Area SD
Big Beaver Falls Area SD,127041503,District Zip Code,15010
Big Beaver Falls Area SD,127041503,Economically Disadvantaged,75.43
Big Beaver Falls Area SD,127041503,English Learner,1
Big Beaver Falls Area SD,127041503,Enrollment in Partnering Career and Technical Center(s),58
Big Beaver Falls Area SD,127041503,Female,48.85
Big Beaver Falls Area SD,127041503,Foster Care,0.24
Big Beaver Falls Area SD,127041503,Geographic Size of District (Square Miles),22.21
Big Beaver Falls Area SD,127041503,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Big Beaver Falls Area SD,127041503,Hispanic ,3.23
Big Beaver Falls Area SD,127041503,Homeless,2.18
Big Beaver Falls Area SD,127041503,Intermediate Unit Name,Beaver Valley IU 27
Big Beaver Falls Area SD,127041503,Intermediate Unit Website,http://www.bviu.org
Big Beaver Falls Area SD,127041503,Male,51.15
Big Beaver Falls Area SD,127041503,Military Connected,0.47
Big Beaver Falls Area SD,127041503,Native Hawaiian or other Pacific Islander ,0.06
Big Beaver Falls Area SD,127041503,Number of Schools,4
Big Beaver Falls Area SD,127041503,Percent of Gifted Students,3.59
Big Beaver Falls Area SD,127041503,Special Education,18.87
Big Beaver Falls Area SD,127041503,Telephone Number,724-843-3470
Big Beaver Falls Area SD,127041503,Website,http://www.tigerweb.org/
Big Beaver Falls Area SD,127041503,White ,51.68
Big Spring SD,115210503,2 or More Races,2.9
Big Spring SD,115210503,American Indian/Alaskan Native ,0
Big Spring SD,115210503,Asian ,0.43
Big Spring SD,115210503,Black/African American ,1.02
Big Spring SD,115210503,Career and Technical Center Name,Cumberland Perry AVTS
Big Spring SD,115210503,Career and Technical Center Website,http://www.cpavts.org
Big Spring SD,115210503,Charter School Enrollment,95
Big Spring SD,115210503,District Address (City),Newville
Big Spring SD,115210503,District Address (State),PA
Big Spring SD,115210503,District Address (Street),45 Mount Rock Rd
Big Spring SD,115210503,District Enrollment,2554
Big Spring SD,115210503,District Name,Big Spring SD
Big Spring SD,115210503,District Zip Code,17241
Big Spring SD,115210503,Economically Disadvantaged,39.78
Big Spring SD,115210503,English Learner,0.27
Big Spring SD,115210503,Enrollment in Partnering Career and Technical Center(s),135
Big Spring SD,115210503,Female,47.34
Big Spring SD,115210503,Foster Care,0.39
Big Spring SD,115210503,Geographic Size of District (Square Miles),195.06
Big Spring SD,115210503,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Big Spring SD,115210503,Hispanic ,2.31
Big Spring SD,115210503,Homeless,1.02
Big Spring SD,115210503,Intermediate Unit Name,Capital Area IU 15
Big Spring SD,115210503,Intermediate Unit Website,http://www.caiu.org
Big Spring SD,115210503,Male,52.66
Big Spring SD,115210503,Military Connected,0.08
Big Spring SD,115210503,Native Hawaiian or other Pacific Islander ,0.12
Big Spring SD,115210503,Number of Schools,5
Big Spring SD,115210503,Percent of Gifted Students,2.98
Big Spring SD,115210503,Special Education,21.97
Big Spring SD,115210503,Telephone Number,717-776-2000
Big Spring SD,115210503,Website,http://www.bigspringsd.org
Big Spring SD,115210503,White ,93.23
Blackhawk SD,127041603,2 or More Races,3.01
Blackhawk SD,127041603,American Indian/Alaskan Native ,0.13
Blackhawk SD,127041603,Asian ,0.39
Blackhawk SD,127041603,Black/African American ,0.82
Blackhawk SD,127041603,Career and Technical Center Name,Beaver County CTC
Blackhawk SD,127041603,Career and Technical Center Website,http://www.bcctc.org
Blackhawk SD,127041603,Charter School Enrollment,62
Blackhawk SD,127041603,District Address (City),Beaver Falls
Blackhawk SD,127041603,District Address (State),PA
Blackhawk SD,127041603,District Address (Street),500 Blackhawk Rd
Blackhawk SD,127041603,District Enrollment,2326
Blackhawk SD,127041603,District Name,Blackhawk SD
Blackhawk SD,127041603,District Zip Code,15010
Blackhawk SD,127041603,Economically Disadvantaged,29.19
Blackhawk SD,127041603,English Learner,0.21
Blackhawk SD,127041603,Enrollment in Partnering Career and Technical Center(s),67
Blackhawk SD,127041603,Female,49.61
Blackhawk SD,127041603,Foster Care,0.13
Blackhawk SD,127041603,Geographic Size of District (Square Miles),70.79
Blackhawk SD,127041603,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Blackhawk SD,127041603,Hispanic ,2.11
Blackhawk SD,127041603,Homeless,0.43
Blackhawk SD,127041603,Intermediate Unit Name,Beaver Valley IU 27
Blackhawk SD,127041603,Intermediate Unit Website,http://www.bviu.org
Blackhawk SD,127041603,Male,50.39
Blackhawk SD,127041603,Military Connected,1.46
Blackhawk SD,127041603,Native Hawaiian or other Pacific Islander ,0
Blackhawk SD,127041603,Number of Schools,5
Blackhawk SD,127041603,Percent of Gifted Students,3.7
Blackhawk SD,127041603,Special Education,14.62
Blackhawk SD,127041603,Telephone Number,724-846-6600
Blackhawk SD,127041603,Website,http://www.bsd.k12.pa.us
Blackhawk SD,127041603,White ,93.55
Blacklick Valley SD,108110603,2 or More Races,2.96
Blacklick Valley SD,108110603,American Indian/Alaskan Native ,0
Blacklick Valley SD,108110603,Asian ,0
Blacklick Valley SD,108110603,Black/African American ,0
Blacklick Valley SD,108110603,Career and Technical Center Name,Admiral Peary AVTS
Blacklick Valley SD,108110603,Career and Technical Center Website,http://www.admiralpeary.tec.pa.us
Blacklick Valley SD,108110603,Charter School Enrollment,7
Blacklick Valley SD,108110603,District Address (City),Nanty Glo
Blacklick Valley SD,108110603,District Address (State),PA
Blacklick Valley SD,108110603,District Address (Street),555 Birch St
Blacklick Valley SD,108110603,District Enrollment,675
Blacklick Valley SD,108110603,District Name,Blacklick Valley SD
Blacklick Valley SD,108110603,District Zip Code,15943
Blacklick Valley SD,108110603,Economically Disadvantaged,43.26
Blacklick Valley SD,108110603,English Learner,0
Blacklick Valley SD,108110603,Enrollment in Partnering Career and Technical Center(s),50
Blacklick Valley SD,108110603,Female,47.26
Blacklick Valley SD,108110603,Foster Care,0.59
Blacklick Valley SD,108110603,Geographic Size of District (Square Miles),33.54
Blacklick Valley SD,108110603,Grades Offered,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Blacklick Valley SD,108110603,Hispanic ,0
Blacklick Valley SD,108110603,Homeless,2.52
Blacklick Valley SD,108110603,Intermediate Unit Name,Appalachia IU 8
Blacklick Valley SD,108110603,Intermediate Unit Website,http://www.iu08.org
Blacklick Valley SD,108110603,Male,52.74
Blacklick Valley SD,108110603,Military Connected,1.33
Blacklick Valley SD,108110603,Native Hawaiian or other Pacific Islander ,0
Blacklick Valley SD,108110603,Number of Schools,2
Blacklick Valley SD,108110603,Percent of Gifted Students,0.89
Blacklick Valley SD,108110603,Special Education,19.11
Blacklick Valley SD,108110603,Telephone Number,814-749-9211
Blacklick Valley SD,108110603,Website,http://www.bvsd.k12.pa.us
Blacklick Valley SD,108110603,White ,97.04
Blairsville-Saltsburg SD,128321103,2 or More Races,2.85
Blairsville-Saltsburg SD,128321103,American Indian/Alaskan Native ,0.2
Blairsville-Saltsburg SD,128321103,Asian ,0.73
Blairsville-Saltsburg SD,128321103,Black/African American ,1.99
Blairsville-Saltsburg SD,128321103,Career and Technical Center Name,Indiana County Technology Center
Blairsville-Saltsburg SD,128321103,Career and Technical Center Website,http://www.ictc.edu
Blairsville-Saltsburg SD,128321103,Charter School Enrollment,66
Blairsville-Saltsburg SD,128321103,District Address (City),Blairsville
Blairsville-Saltsburg SD,128321103,District Address (State),PA
Blairsville-Saltsburg SD,128321103,District Address (Street),102 School Lane
Blairsville-Saltsburg SD,128321103,District Enrollment,1511
Blairsville-Saltsburg SD,128321103,District Name,Blairsville-Saltsburg SD
Blairsville-Saltsburg SD,128321103,District Zip Code,15717
Blairsville-Saltsburg SD,128321103,Economically Disadvantaged,52.42
Blairsville-Saltsburg SD,128321103,English Learner,0.26
Blairsville-Saltsburg SD,128321103,Enrollment in Partnering Career and Technical Center(s),66
Blairsville-Saltsburg SD,128321103,Female,47.25
Blairsville-Saltsburg SD,128321103,Foster Care,1.13
Blairsville-Saltsburg SD,128321103,Geographic Size of District (Square Miles),110.85
Blairsville-Saltsburg SD,128321103,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Blairsville-Saltsburg SD,128321103,Hispanic ,2.05
Blairsville-Saltsburg SD,128321103,Homeless,1.39
Blairsville-Saltsburg SD,128321103,Intermediate Unit Name,ARIN IU 28
Blairsville-Saltsburg SD,128321103,Intermediate Unit Website,http://www.iu28.org
Blairsville-Saltsburg SD,128321103,Male,52.75
Blairsville-Saltsburg SD,128321103,Military Connected,1.06
Blairsville-Saltsburg SD,128321103,Native Hawaiian or other Pacific Islander ,0
Blairsville-Saltsburg SD,128321103,Number of Schools,5
Blairsville-Saltsburg SD,128321103,Percent of Gifted Students,3.44
Blairsville-Saltsburg SD,128321103,Special Education,17.27
Blairsville-Saltsburg SD,128321103,Telephone Number,724-459-5500
Blairsville-Saltsburg SD,128321103,Website,http://www.b-ssd.org
Blairsville-Saltsburg SD,128321103,White ,92.19
Bloomsburg Area SD,116191203,2 or More Races,3.6
Bloomsburg Area SD,116191203,American Indian/Alaskan Native ,0
Bloomsburg Area SD,116191203,Asian ,1.13
Bloomsburg Area SD,116191203,Black/African American ,2.94
Bloomsburg Area SD,116191203,Career and Technical Center Name,Columbia-Montour AVTS
Bloomsburg Area SD,116191203,Career and Technical Center Website,http://www.cmvt.us
Bloomsburg Area SD,116191203,Charter School Enrollment,30
Bloomsburg Area SD,116191203,District Address (City),Bloomsburg
Bloomsburg Area SD,116191203,District Address (State),PA
Bloomsburg Area SD,116191203,District Address (Street),728 E 5th St
Bloomsburg Area SD,116191203,District Enrollment,1498
Bloomsburg Area SD,116191203,District Name,Bloomsburg Area SD
Bloomsburg Area SD,116191203,District Zip Code,17815
Bloomsburg Area SD,116191203,Economically Disadvantaged,45.26
Bloomsburg Area SD,116191203,English Learner,0
Bloomsburg Area SD,116191203,Enrollment in Partnering Career and Technical Center(s),85
Bloomsburg Area SD,116191203,Female,47.66
Bloomsburg Area SD,116191203,Foster Care,0.53
Bloomsburg Area SD,116191203,Geographic Size of District (Square Miles),84.63
Bloomsburg Area SD,116191203,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Bloomsburg Area SD,116191203,Hispanic ,4.54
Bloomsburg Area SD,116191203,Homeless,2.67
Bloomsburg Area SD,116191203,Intermediate Unit Name,Central Susquehanna IU 16
Bloomsburg Area SD,116191203,Intermediate Unit Website,http://www.csiu.org
Bloomsburg Area SD,116191203,Male,52.34
Bloomsburg Area SD,116191203,Military Connected,0
Bloomsburg Area SD,116191203,Native Hawaiian or other Pacific Islander ,0.27
Bloomsburg Area SD,116191203,Number of Schools,5
Bloomsburg Area SD,116191203,Percent of Gifted Students,1.87
Bloomsburg Area SD,116191203,Special Education,14.15
Bloomsburg Area SD,116191203,Telephone Number,570-784-5000
Bloomsburg Area SD,116191203,Website,http://bloomsburgasd.schoolwires.com/site/default.aspx?PageID=1
Bloomsburg Area SD,116191203,White ,87.52
Blue Mountain SD,129540803,2 or More Races,1.91
Blue Mountain SD,129540803,American Indian/Alaskan Native ,0.08
Blue Mountain SD,129540803,Asian ,0.94
Blue Mountain SD,129540803,Black/African American ,0.74
Blue Mountain SD,129540803,Career and Technical Center Name,Schuylkill Technology Centers
Blue Mountain SD,129540803,Career and Technical Center Website,http://www.stcenters.org
Blue Mountain SD,129540803,Charter School Enrollment,75
Blue Mountain SD,129540803,District Address (City),Orwigsburg
Blue Mountain SD,129540803,District Address (State),PA
Blue Mountain SD,129540803,District Address (Street),685 Red Dale Rd
Blue Mountain SD,129540803,District Enrollment,2564
Blue Mountain SD,129540803,District Name,Blue Mountain SD
Blue Mountain SD,129540803,District Zip Code,17961
Blue Mountain SD,129540803,Economically Disadvantaged,28.9
Blue Mountain SD,129540803,English Learner,0.16
Blue Mountain SD,129540803,Enrollment in Partnering Career and Technical Center(s),72
Blue Mountain SD,129540803,Female,48.24
Blue Mountain SD,129540803,Foster Care,0.62
Blue Mountain SD,129540803,Geographic Size of District (Square Miles),123.21
Blue Mountain SD,129540803,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Blue Mountain SD,129540803,Hispanic ,3.12
Blue Mountain SD,129540803,Homeless,0.47
Blue Mountain SD,129540803,Intermediate Unit Name,Schuylkill IU 29
Blue Mountain SD,129540803,Intermediate Unit Website,http://www.iu29.org
Blue Mountain SD,129540803,Male,51.76
Blue Mountain SD,129540803,Military Connected,1.01
Blue Mountain SD,129540803,Native Hawaiian or other Pacific Islander ,0.08
Blue Mountain SD,129540803,Number of Schools,5
Blue Mountain SD,129540803,Percent of Gifted Students,2.96
Blue Mountain SD,129540803,Special Education,21.49
Blue Mountain SD,129540803,Telephone Number,570-366-0515
Blue Mountain SD,129540803,Website,http://www.bmsd.org
Blue Mountain SD,129540803,White ,93.14
Blue Ridge SD,119581003,2 or More Races,1
Blue Ridge SD,119581003,American Indian/Alaskan Native ,0.3
Blue Ridge SD,119581003,Asian ,0.4
Blue Ridge SD,119581003,Black/African American ,1
Blue Ridge SD,119581003,Career and Technical Center Name,Susquehanna County CTC
Blue Ridge SD,119581003,Career and Technical Center Website,http://www.scctc-school.org
Blue Ridge SD,119581003,Charter School Enrollment,29
Blue Ridge SD,119581003,District Address (City),New Milford
Blue Ridge SD,119581003,District Address (State),PA
Blue Ridge SD,119581003,District Address (Street),5150 School Road
Blue Ridge SD,119581003,District Enrollment,1000
Blue Ridge SD,119581003,District Name,Blue Ridge SD
Blue Ridge SD,119581003,District Zip Code,18834
Blue Ridge SD,119581003,Economically Disadvantaged,49.4
Blue Ridge SD,119581003,English Learner,0.4
Blue Ridge SD,119581003,Enrollment in Partnering Career and Technical Center(s),18
Blue Ridge SD,119581003,Female,49.6
Blue Ridge SD,119581003,Foster Care,0.4
Blue Ridge SD,119581003,Geographic Size of District (Square Miles),110.53
Blue Ridge SD,119581003,Grades Offered,"K4H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Blue Ridge SD,119581003,Hispanic ,2.7
Blue Ridge SD,119581003,Homeless,1.1
Blue Ridge SD,119581003,Intermediate Unit Name,Northeastern Educational IU 19
Blue Ridge SD,119581003,Intermediate Unit Website,http://www.iu19.org
Blue Ridge SD,119581003,Male,50.4
Blue Ridge SD,119581003,Military Connected,0.5
Blue Ridge SD,119581003,Native Hawaiian or other Pacific Islander ,0
Blue Ridge SD,119581003,Number of Schools,3
Blue Ridge SD,119581003,Percent of Gifted Students,0.7
Blue Ridge SD,119581003,Special Education,15.7
Blue Ridge SD,119581003,Telephone Number,570-465-3141
Blue Ridge SD,119581003,Website,http://www.brsd.org
Blue Ridge SD,119581003,White ,94.6
Boyertown Area SD,114060753,2 or More Races,2.56
Boyertown Area SD,114060753,American Indian/Alaskan Native ,0.01
Boyertown Area SD,114060753,Asian ,1.32
Boyertown Area SD,114060753,Black/African American ,2.1
Boyertown Area SD,114060753,Career and Technical Center Name,Berks CTC
Boyertown Area SD,114060753,Career and Technical Center Website,http://www.berkscareer.com
Boyertown Area SD,114060753,Charter School Enrollment,170
Boyertown Area SD,114060753,District Address (City),Boyertown
Boyertown Area SD,114060753,District Address (State),PA
Boyertown Area SD,114060753,District Address (Street),911 Montgomery Ave
Boyertown Area SD,114060753,District Enrollment,6914
Boyertown Area SD,114060753,District Name,Boyertown Area SD
Boyertown Area SD,114060753,District Zip Code,19512
Boyertown Area SD,114060753,Economically Disadvantaged,27.78
Boyertown Area SD,114060753,English Learner,0.42
Boyertown Area SD,114060753,Enrollment in Partnering Career and Technical Center(s),226
Boyertown Area SD,114060753,Female,48.64
Boyertown Area SD,114060753,Foster Care,0.35
Boyertown Area SD,114060753,Geographic Size of District (Square Miles),97.94
Boyertown Area SD,114060753,Grades Offered,"PreKH, K5H, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Boyertown Area SD,114060753,Hispanic ,4.77
Boyertown Area SD,114060753,Homeless,0.9
Boyertown Area SD,114060753,Intermediate Unit Name,Berks County IU 14
Boyertown Area SD,114060753,Intermediate Unit Website,http://www.berksiu.org
Boyertown Area SD,114060753,Male,51.36
Boyertown Area SD,114060753,Military Connected,0
Boyertown Area SD,114060753,Native Hawaiian or other Pacific Islander ,0.04
Boyertown Area SD,114060753,Number of Schools,10
Boyertown Area SD,114060753,Percent of Gifted Students,4.45
Boyertown Area SD,114060753,Special Education,20.68
Boyertown Area SD,114060753,Telephone Number,610-367-6031
Boyertown Area SD,114060753,Website,http://www.boyertownasd.org/
Boyertown Area SD,114060753,White ,89.2
Bradford Area SD,109420803,2 or More Races,2.54
Bradford Area SD,109420803,American Indian/Alaskan Native ,0.42
Bradford Area SD,109420803,Asian ,0.46
Bradford Area SD,109420803,Black/African American ,1.59
Bradford Area SD,109420803,Career and Technical Center Name,Not Available
Bradford Area SD,109420803,Career and Technical Center Website,Not Available
Bradford Area SD,109420803,Charter School Enrollment,66
Bradford Area SD,109420803,District Address (City),Bradford
Bradford Area SD,109420803,District Address (State),PA
Bradford Area SD,109420803,District Address (Street),150 Lorana Ave
Bradford Area SD,109420803,District Enrollment,2635
